time;x;y;z;gforce
3,6680;-0,0961;0,4243;0,9366;1,033
3,6740;-0,1001;0,4083;0,9446;1,034
3,6840;-0,1001;0,4123;0,9607;1,050
3,6940;-0,1041;0,4283;0,9687;1,064
3,7040;-0,1041;0,4323;0,9647;1,062
3,7140;-0,0961;0,4363;0,9767;1,074
3,7240;-0,1041;0,4403;0,9687;1,069
3,7560;-0,0881;0,4403;0,9767;1,075
3,7570;-0,0921;0,4443;0,9727;1,073
3,7580;-0,0881;0,4403;0,9607;1,060
3,7650;-0,1001;0,4483;0,9526;1,058
3,7740;-0,1001;0,4563;0,9687;1,075
3,7850;-0,1081;0,4563;0,9727;1,080
3,7940;-0,1121;0,4443;0,9687;1,072
3,8040;-0,1321;0,4323;0,9486;1,051
3,8230;-0,1361;0,4243;0,9446;1,044
3,8320;-0,1441;0,4123;0,9446;1,041
3,8340;-0,1481;0,4123;0,9286;1,027
3,8440;-0,1521;0,4203;0,9286;1,031
3,8550;-0,1521;0,4203;0,9246;1,027
3,8650;-0,1481;0,4163;0,9126;1,014
3,8780;-0,1481;0,4163;0,9046;1,007
3,9020;-0,1601;0,4283;0,9006;1,010
3,9030;-0,1761;0,4243;0,8966;1,007
3,9040;-0,1921;0,4243;0,8926;1,007
3,9140;-0,2001;0,4163;0,8886;1,001
3,9240;-0,1961;0,4203;0,9166;1,027
3,9480;-0,1881;0,4283;0,9246;1,036
3,9490;-0,1881;0,4563;0,9326;1,055
3,9540;-0,1801;0,4643;0,9647;1,086
3,9640;-0,1641;0,4723;0,9647;1,087
3,9740;-0,1521;0,4683;0,9687;1,087
3,9840;-0,1521;0,4563;0,9647;1,078
3,9940;-0,1601;0,4563;0,9847;1,097
4,0040;-0,1521;0,4443;0,9847;1,091
4,0140;-0,1401;0,4403;1,0047;1,106
4,0240;-0,1441;0,4443;1,0087;1,112
4,0470;-0,1401;0,4483;0,9967;1,102
4,0490;-0,1401;0,4443;1,0087;1,111
4,0720;-0,1561;0,4403;0,9767;1,083
4,0730;-0,1601;0,4283;0,9526;1,057
4,0750;-0,1521;0,4283;0,9446;1,048
4,0860;-0,1601;0,4243;0,9166;1,023
4,0940;-0,1561;0,4363;0,9126;1,024
4,1040;-0,1601;0,4323;0,9126;1,022
4,1140;-0,1601;0,4403;0,9166;1,029
4,1240;-0,1641;0,4323;0,9006;1,012
4,1500;-0,1681;0,4403;0,9006;1,016
4,1510;-0,1721;0,4403;0,9086;1,024
4,1550;-0,1681;0,4363;0,9206;1,033
4,1640;-0,1601;0,4323;0,9326;1,040
4,1770;-0,1601;0,4323;0,9446;1,051
4,1860;-0,1641;0,4323;0,9406;1,048
4,1940;-0,1641;0,4403;0,9486;1,059
4,2040;-0,1601;0,4523;0,9366;1,052
4,2150;-0,1721;0,4563;0,9486;1,067
4,2240;-0,1601;0,4683;0,9446;1,066
4,2470;-0,1601;0,4523;0,9486;1,063
4,2480;-0,1601;0,4443;0,9446;1,056
4,2780;-0,1481;0,4603;0,9607;1,075
4,2800;-0,1481;0,4563;0,9647;1,077
4,2830;-0,1441;0,4643;0,9566;1,073
4,2900;-0,1441;0,4763;0,9366;1,061
4,2940;-0,1481;0,4723;0,9406;1,063
4,3040;-0,1481;0,4563;0,9486;1,063
4,3140;-0,1321;0,4603;0,9687;1,081
4,3240;-0,1401;0,4603;0,9807;1,092
4,3530;-0,1361;0,4483;0,9887;1,094
4,3540;-0,1201;0,4603;0,9887;1,097
4,3550;-0,1121;0,4483;0,9927;1,095
4,3700;-0,1161;0,4403;0,9647;1,067
4,3740;-0,1201;0,4363;0,9647;1,066
4,3880;-0,1081;0,4683;0,9246;1,042
4,3940;-0,1201;0,4683;0,9006;1,022
4,4040;-0,1081;0,4803;0,8926;1,019
4,4150;-0,1001;0,4843;0,8886;1,017
4,4240;-0,1001;0,4723;0,8726;0,997
4,4520;-0,0921;0,4763;0,8966;1,019
4,4540;-0,1041;0,4763;0,8966;1,021
4,4550;-0,0921;0,4843;0,8886;1,016
4,4640;-0,0881;0,4883;0,9246;1,049
4,4750;-0,0801;0,4923;0,9326;1,058
4,4880;-0,0921;0,4803;0,9286;1,050
4,4940;-0,0961;0,5003;0,9326;1,063
4,5040;-0,0961;0,5003;0,9406;1,070
4,5140;-0,0881;0,5003;0,9526;1,080
4,5240;-0,0640;0,4963;0,9687;1,090
4,5570;-0,0600;0,4803;0,9847;1,097
4,5630;-0,0560;0,4643;1,0287;1,130
4,5640;-0,0440;0,4403;1,0567;1,146
4,5660;-0,0400;0,4203;1,0647;1,145
4,5740;-0,0240;0,4083;1,0647;1,141
4,5840;-0,0160;0,4043;1,0487;1,124
4,5940;-0,0240;0,4123;1,0367;1,116
4,6040;-0,0240;0,4243;1,0207;1,106
4,6140;-0,0200;0,4323;1,0087;1,098
4,6330;-0,0280;0,4523;1,0087;1,106
4,6480;-0,0280;0,4483;1,0087;1,104
4,6590;-0,0280;0,4483;0,9927;1,090
4,6650;-0,0160;0,4363;0,9927;1,084
4,6790;-0,0160;0,4283;1,0127;1,100
4,6930;-0,0080;0,4203;1,0087;1,093
4,6940;0,0040;0,4083;0,9967;1,077
4,7040;0,0200;0,4123;0,9967;1,079
4,7140;0,0200;0,4163;0,9807;1,066
4,7240;0,0240;0,4163;0,9807;1,066
4,7740;0,0320;0,4083;0,9927;1,074
4,7760;0,0360;0,4123;0,9847;1,068
4,7760;0,0360;0,3883;0,9847;1,059
4,7840;0,0320;0,3682;0,9967;1,063
4,7850;0,0320;0,3682;0,9767;1,044
4,7860;0,0320;0,3562;0,9727;1,036
4,8000;0,0280;0,3562;0,9566;1,021
4,8040;0,0320;0,3442;0,9406;1,002
4,8160;0,0280;0,3402;0,9166;0,978
4,8340;0,0360;0,3442;0,8846;0,950
4,8350;0,0320;0,3562;0,8686;0,939
4,8440;0,0400;0,3682;0,8686;0,944
4,8740;0,0400;0,3883;0,8686;0,952
4,8750;0,0400;0,3963;0,8566;0,945
4,8760;0,0400;0,4003;0,8726;0,961
4,8940;0,0440;0,4083;0,8846;0,975
4,8960;0,0360;0,4003;0,8966;0,983
4,9080;0,0400;0,3963;0,9326;1,014
4,9170;0,0400;0,3843;0,9446;1,021
4,9240;0,0280;0,3682;0,9566;1,025
4,9440;0,0160;0,3642;0,9807;1,046
4,9450;0,0200;0,3602;0,9727;1,037
4,9760;0,0120;0,3682;0,9887;1,055
4,9780;0,0120;0,3763;0,9767;1,047
4,9790;0,0040;0,3763;0,9727;1,043
4,9890;0,0080;0,3803;0,9687;1,041
4,9940;-0,0040;0,3923;0,9767;1,053
5,0040;-0,0080;0,3923;0,9647;1,041
5,0150;-0,0080;0,4043;0,9566;1,039
5,0440;-0,0080;0,4043;0,9607;1,042
5,0460;-0,0200;0,4123;0,9687;1,053
5,0710;-0,0160;0,4203;0,9566;1,045
5,0730;-0,0240;0,4243;0,9647;1,054
5,0750;-0,0160;0,4203;0,9687;1,056
5,0840;-0,0160;0,4283;0,9566;1,048
5,0940;-0,0240;0,4363;0,9566;1,052
5,1040;-0,0240;0,4323;0,9526;1,046
5,1140;-0,0480;0,4203;0,9566;1,046
5,1240;-0,0520;0,4203;0,9647;1,054
5,1580;-0,0480;0,4163;0,9727;1,059
5,1590;-0,0320;0,4043;0,9927;1,072
5,1600;-0,0440;0,4043;0,9967;1,076
5,1640;-0,0400;0,4043;0,9967;1,076
5,1740;-0,0400;0,4083;1,0007;1,082
5,1870;-0,0440;0,4083;0,9967;1,078
5,1940;-0,0240;0,4043;1,0167;1,094
5,2040;-0,0280;0,3963;1,0167;1,092
5,2140;-0,0240;0,3923;1,0327;1,105
5,2240;-0,0280;0,3843;1,0287;1,098
5,2630;-0,0240;0,3963;1,0447;1,118
5,2650;-0,0040;0,3923;1,0567;1,127
5,2660;0,0040;0,4043;1,0407;1,116
5,2670;0,0040;0,4003;1,0407;1,115
5,2780;0,0120;0,4043;1,0367;1,113
5,2900;0,0040;0,4083;1,0367;1,114
5,2940;-0,0000;0,4043;1,0407;1,116
5,3140;-0,0000;0,3923;1,0247;1,097
5,3340;-0,0040;0,3963;1,0167;1,091
5,3360;-0,0000;0,4043;1,0007;1,079
5,3440;-0,0000;0,4043;0,9887;1,068
5,3640;-0,0080;0,4083;0,9647;1,048
5,3740;-0,0080;0,4163;0,9446;1,032
5,3840;-0,0120;0,4203;0,9406;1,030
5,3940;-0,0160;0,4203;0,9286;1,019
5,4040;-0,0240;0,4203;0,9406;1,031
5,4140;-0,0280;0,4123;0,9566;1,042
5,4240;-0,0120;0,4243;0,9767;1,065
5,4540;-0,0280;0,4283;0,9767;1,067
5,4560;-0,0240;0,4203;0,9807;1,067
5,4570;-0,0280;0,4123;0,9807;1,064
5,4640;-0,0320;0,4163;0,9767;1,062
5,4740;-0,0320;0,4243;0,9847;1,073
5,4840;-0,0400;0,4323;0,9727;1,065
5,4940;-0,0400;0,4403;1,0007;1,094
5,5040;-0,0280;0,4403;1,0127;1,105
5,5140;-0,0280;0,4323;1,0367;1,124
5,5240;-0,0280;0,4483;1,0487;1,141
5,5440;-0,0320;0,4363;1,0607;1,147
5,5460;-0,0400;0,4363;1,0527;1,140
5,5690;-0,0480;0,4203;1,0607;1,142
5,5710;-0,0360;0,4043;1,0647;1,139
5,5740;-0,0400;0,4123;1,0727;1,150
5,5860;-0,0400;0,4163;1,0847;1,163
5,5940;-0,0480;0,4203;1,1088;1,187
5,6040;-0,0360;0,4243;1,1047;1,184
5,6140;-0,0360;0,4043;1,0967;1,169
5,6240;-0,0440;0,3923;1,0767;1,147
